part;var;de;en
form;title;Einstellungen erfassen;Setup
form;button_update;Update;Update
form;button_create;Erstellen;Create
form;button_cancel;Abbrechen;Cancel
set;title;Titel;Title
set;description;Beschreibung;Description
set;global_role;Globale Rolle;Global Role
set;assigned_courses;Einschreiben in Kurse;Assign to Courses
set;assigned_groupes;Einschreiben in Gruppen;Assign to Groups
set;portfolio_template_id;Portfolio-Vorlage;Portfolio-Template
set;portfolio_assigned_to_groups;Portfolio automatisch freigegen;Share Portfolio to
msg;entry_added;Eintrag gespeichert;Entry saved
msg;activation_failed;Einstellung nicht aktiviert, da keine UDF-Checks vorhanden;Due to missing UDF-Checks the Setting has not been activated
msg;confirm_delete;Möchten Sie den Datensatz wirklich löschen?;Do you really like to delete the dataset?
set;table_title;Einstellungs-Sets;Settings
set;status;Aktiv;Active
set;cancel;Abbrechen;Abbrechen
set;actions;Aktionen;Actions
set;add;Neue Einstellung erfassen;Add Setting
set;edit;Bearbeiten;Edit
set;activate;Aktivieren;Activate
set;deactivate;Deaktivieren;Deactivate
set;udf_checks;UDF-Checks bearbeiten;Edit UDF-Checks
set;delete;Löschen;Delete
check;table_title;UDF-Checks;UDF-Checks
check;add;UDF-Check hinzufügen;Add UDF-Check
check;name;Feld;Field
check;operator;Vergleich;Operator
check;value;Wert;Value
check;actions;Aktionen;Actions
check;udf_field_id;UDF-Feld;UDF-Field
check;edit;Bearbeiten;Edit
check;delete;Löschen;Delete
check;back;<< Zurück;<< Back
crs;placeholder;Kurse wählen;Choose Courses
grp;placeholder;Gruppen wählen;Choose Groups
check;cancel;Abbrechen;Cancel
